sequence_id,account_id,split,seq_len,label,recon_error,anomaly_score
C187881338,C187881338,train,10,1.0,0.25892124,0.30008617
C866867675,C866867675,train,19,1.0,0.33990338,0.40175992
C1762365059,C1762365059,train,3,1.0,0.23117192,0.2652467
C876852627,C876852627,train,4,1.0,0.11483501,0.11918473
C154560289,C154560289,train,14,1.0,0.2785613,0.32474443
C648682751,C648682751,train,24,1.0,0.2926348,0.3424138
C590362838,C590362838,train,4,1.0,0.59342664,0.7200605
C32740114,C32740114,train,8,1.0,0.25862223,0.29971078
C776312807,C776312807,train,26,1.0,0.31670293,0.37263158
C1653962033,C1653962033,train,28,1.0,0.32798997,0.38680252
C201700405,C201700405,train,5,1.0,0.15441051,0.1688721
C529880237,C529880237,train,9,1.0,0.31240007,0.3672293
C1380348902,C1380348902,train,32,1.0,0.3222518,0.37959823
C1417680063,C1417680063,train,6,1.0,0.18162978,0.20304611
C308006848,C308006848,train,16,1.0,0.42103645,0.5036232
C903962920,C903962920,train,13,1.0,0.24914423,0.28781107
C1641312686,C1641312686,train,5,1.0,0.12932543,0.13737759
C257156867,C257156867,train,4,1.0,0.098588586,0.09878722
C1444685915,C1444685915,train,9,1.0,0.29186526,0.34144768
C690014487,C690014487,train,12,1.0,0.19208062,0.21616723
C1128836138,C1128836138,train,8,1.0,0.21314591,0.24261488
C1190598592,C1190598592,train,3,1.0,0.20867723,0.23700441
C1370530926,C1370530926,train,10,1.0,0.22181481,0.25349876
C899674207,C899674207,train,7,1.0,0.18863316,0.21183892
C1647613503,C1647613503,train,6,1.0,0.26603562,0.30901834
C1635587214,C1635587214,train,7,1.0,0.15869458,0.17425078
C1551346623,C1551346623,train,12,1.0,0.24008474,0.2764368
C997271871,C997271871,train,7,1.0,0.17016947,0.18865761
C524837856,C524837856,train,27,1.0,0.35770938,0.4241155
C118143453,C118143453,train,23,1.0,0.3131948,0.3682271
C244995848,C244995848,train,10,1.0,0.2772785,0.3231339
C1562975084,C1562975084,train,9,1.0,0.24967472,0.2884771
C176494011,C176494011,train,15,1.0,0.29474738,0.3450662
C610652311,C610652311,train,25,1.0,0.25086296,0.28996894
